,Position,phyloP,TSS,GC,C2H2 zinc finger factors,Nuclear receptors with C4 zinc fingers,Fork head/winged helix factors,T-Box factors,Basic helix-loop-helix factors (bHLH),Homeo domain factors,Basic helix-span-helix factors (bHSH),Runt domain factors,Tryptophan cluster factors,High-mobility group (HMG) domain factors,Homeo domain factors&Paired box factors,Paired box factors,Basic leucine zipper factors (bZIP)&SAND domain factors,Rel homology region (RHR) factors,Rel homology region (RHR) factors&C2H2 zinc finger factors,Tryptophan cluster factors&Homeo domain factors,Other C4 zinc finger-type factors,T-Box factors&Homeo domain factors,C2CH THAP-type zinc finger factors,Basic leucine zipper factors (bZIP),DM-type intertwined zinc finger factors,STAT domain factors,CRC domain,TATA-binding proteins,Tryptophan cluster factors&Basic helix-loop-helix factors (bHLH),ARID,SMAD/NF-1 DNA-binding domain factors,SAND domain factors,Heat shock factors,MADS box factors,Grainyhead domain factors,Other C4 zinc finger-type factors&Basic helix-loop-helix factors (bHLH),Heteromeric CCAAT-binding factors,Tryptophan cluster factors&Fork head/winged helix factors,TEA domain factors,p53 domain factors,GCM domain factors,ARID&Homeo domain factors,Homeo domain factors&High-mobility group (HMG) domain factors,label,mse,r2
layer0-head11,4.18393001884846e-05,0.00014461850109871157,0.0007992507649127569,0.02809925465755354,2.7329120141949858e-05,0.00010649196678510703,-8.872592232947344e-06,0.00012129715071382364,6.226782873407024e-06,-1.0509409723665986e-05,-4.1013815161624245e-05,9.297979603978841e-05,5.78580943429536e-06,-7.066933701657576e-05,-0.00043259471283843776,2.5943901919673626e-05,0.0001393150751537134,0.0001234714925956555,6.071532165918825e-18,6.071532165918825e-18,-6.961556217375693e-06,-1.734723475976807e-18,-0.0008209035825595178,7.505494426913789e-05,-0.0007363748178043354,0.00014652872605419237,-0.00024324967378728463,-0.00018004539424764992,-8.673617379884035e-19,0.0003727361171855216,7.474782516285407e-05,0.00033987177479764304,0.00011603558532028142,2.1098537872685746e-05,-0.00022977273883145063,0.00026575123079198285,-0.0002777912937242079,4.336808689942018e-19,-9.669240969033328e-05,3.49461632548416e-05,-9.997162966460108e-05,0.0001695547370715324,-5.118910279474216e-05,0.0015599531223458626,0.0006693067767291675,0.053014241484845015
layer1-head0,0.0007642884931708383,-0.00021875448893095414,-0.03449627803167796,0.07959689502312337,-0.0003047455344859713,-0.00029409460443933485,4.403477800340584e-06,0.0002721403909105573,-7.540751600752248e-05,1.2977293125925025e-05,-0.0015070999944376262,-0.0016278145351741955,0.00030376165678419614,0.000327303199161298,-0.0025859605319617012,-0.0020950076236469547,-0.0012898329623074578,0.00027427128992362886,2.6020852139652106e-17,2.949029909160572e-17,-0.0006514421199953574,-1.734723475976807e-17,0.0036779079537578112,0.00024790108843524044,-0.0005197427581780654,-0.00045369114529854803,-0.000697993846787036,0.005504521742435882,-1.734723475976807e-18,-0.0023521726424973704,0.0007030670278691876,0.001487273805907554,0.003967872088108649,-0.001253395431420606,0.0010734714377044511,0.0048516455784767595,-0.0008443708603544794,-2.168404344971009e-19,-0.0018207404746157752,0.004235226809660818,0.0011788211482889198,0.0015986080441901655,-0.008857293708369442,0.012975961266566353,0.034710338426402094,0.06073169067471018
layer1-head1,0.000163616437230886,0.0017287480026087405,-0.02143241085883,0.0548870976790006,-8.864579048179652e-05,-0.00010376642132252469,0.00020314108416426177,0.00039465147793926237,-0.00010266229645222235,-2.6645671599407658e-05,-0.0016139117433841747,0.0006251983030665397,8.656584067078905e-05,0.0006450931530679996,-0.0005332770271000716,-0.005336941499599682,-0.0028742288706470214,-0.001190974118327831,2.3418766925686896e-17,2.211772431870429e-17,-0.00017463736571601216,-1.0408340855860843e-17,0.004991057025337531,0.0002407806041508645,0.012476123640574011,0.0006273102505176558,-0.00232622768538515,0.004345295008574765,3.469446951953614e-18,-0.0010308572073660855,0.00018067819843604072,0.016294497422478457,0.002221418117973965,-0.0024007096203228,0.003658941802540426,0.005773109021705649,0.0024518173559754503,4.336808689942018e-19,0.0008569529254757434,-0.004805211046417065,0.0007822480413929593,0.0015277440452333524,-0.0129505239003603,-0.00643492047548488,0.013552970154913638,0.015874892283698316
layer1-head2,0.0005932598901995904,0.007296479737368297,-0.02061278856818131,0.2997580290340256,-0.0003962702834433287,-0.00037044729752038966,-0.0003015596289923923,0.0003336653667683938,-0.0004109120931660557,0.00015963994276812954,-0.0022123261963509456,0.0004877124647802209,-0.00025024895351599566,-0.0015109066002507493,0.005144676577120242,-0.005312562954618969,0.004395356535057595,0.0008925517435454658,8.326672684688674e-17,8.326672684688674e-17,0.00019008514688738522,-4.163336342344337e-17,0.006027953674281132,7.373558396468783e-05,0.004206167761295581,-0.0006638693160026343,-0.0026396274376958937,0.007472858903973131,0.0,-0.001204048615945933,-0.001405267598776516,0.0006133098399577018,0.0030820396127362983,-0.003143440473799724,0.0015887807282122654,0.004842865204982828,-0.0027347687696613497,-4.336808689942018e-19,-0.0024290136971952363,0.018441663882945093,0.0065516122742186825,-0.0032411799307682527,-0.027034251116395677,-0.10479882267943963,0.06637376661866871,0.08767807445630249
layer1-head3,3.3719093217942656e-05,0.0005688586461114607,-0.0025198813801697553,0.08008333967303066,3.652363871571646e-05,2.6985937548516297e-05,-9.224649536896424e-05,-9.482199396503303e-05,-5.501245587015385e-05,1.4546096888659496e-05,8.78112411085005e-05,-0.0002502875751589764,-0.00013982780003252558,-5.669313913109011e-05,0.00038569955139072755,-0.0018651936216592837,-0.0008146325323097007,0.00011979032682127404,2.7755575615628914e-17,2.688821387764051e-17,-0.0011214141231289374,3.469446951953614e-18,0.00044361039127335865,0.0001358584985488804,0.002637821562013156,0.000149759751672557,-0.0020445790908027576,0.002763411545293449,0.0,-0.0013368083579154086,4.015785503880869e-06,0.0011151139104307165,-0.0018416480356902077,-8.141303617783658e-05,-0.0006700929507263268,0.0041187000293569954,-0.0001681771297818474,8.673617379884035e-19,-0.0003473084828841764,-0.0005299651906065362,-0.00038656510989133806,0.0012636532285268402,-0.0034214299754626353,-0.00842419239914877,0.011574314790914829,0.018324205931176007
layer1-head4,0.0001640353419570689,-0.0008258834779691435,0.0019181512173775028,0.06890229196889473,0.0003359328092519971,-9.738850819654134e-05,0.00012746573369888209,4.425803818886722e-05,-6.727237242393196e-05,4.439500594047689e-05,-4.2709662498217215e-05,-0.00023491038945430218,-0.0003860519704865373,-0.00021210817598218872,-0.0015122480944604188,5.594311528117912e-05,-0.001268979877891308,-0.0002630560031575263,2.0816681711721685e-17,2.168404344971009e-17,-0.0004909729671259152,-1.0408340855860843e-17,0.004174416081879049,-0.00043070875750028453,0.0016202325185762623,0.0004950437279751828,-0.0004749082173405243,0.0028544444289070395,3.469446951953614e-18,-0.0015307496828135317,0.001241688079591372,0.0022174047524920904,-0.0018930272658483792,-0.001219576598558438,0.0002071873455527578,0.0033171169570307105,-0.00060389673637045,-1.0842021724855044e-19,-0.00024518031671735667,0.00018248787444114214,0.0015420087924621385,-0.00023241579303325,-0.0032036885205861195,-0.01693948260220227,0.0305241363215721,0.010507116823396001
layer1-head5,0.0001980760606283024,-0.0008941283377736512,-0.0021690224589746517,0.05154662087154295,-2.9704201368334688e-05,0.0002616591827823104,8.568832952835917e-05,-0.00012716490910582537,3.2128596406180045e-05,-4.6417885774599434e-05,0.00019399289329788535,-0.001917474981976611,0.00011537435789606926,0.00014241938393933022,0.001005161907267292,0.0012452563425373595,0.002561965240923929,0.0002645937699903251,1.214306433183765e-17,9.107298248878237e-18,0.00010702840726239502,-6.938893903907228e-18,-0.0004634068887641891,6.35155887504743e-05,0.0013147910089819127,0.0008105595832363785,-0.0020097088083136892,0.0022106628808581867,0.0,-0.00011044793681506341,0.00030993651201935955,-0.0024065034531841273,-0.0003010019758356854,2.9276354469332917e-05,0.001349653425542485,-0.0005764630751183995,0.0009892847241697261,4.336808689942018e-19,-0.0003499626533534728,-0.0012124563287979563,0.0033682101396205594,0.0003674797668415381,0.002954917188168578,0.006040013638517867,0.008548279270725299,0.028819056325714132
layer1-head6,0.000150316900773466,0.0021059259571246758,-0.013354142214452984,0.03195233807468132,-0.00024130869300204068,-0.00028127951741384365,3.824389315845794e-05,8.438776909664945e-05,-2.418766377789735e-05,6.510270155852906e-05,0.0009799863181245124,-0.002157370761858932,0.0003020306156759322,0.00011631352503708607,0.0033433586242240386,-0.0035770691170636504,-0.0007742220770716923,0.0001987746637465029,1.0842021724855044e-17,1.0408340855860843e-17,0.00024080978306020403,0.0,0.0033725595934849923,-0.00013421190966728157,-0.0013046635826169431,0.0005773966905116985,0.00011307681131387875,0.00512056524698759,1.734723475976807e-18,-0.002985290714036383,4.549457999455396e-05,0.010978948496844863,3.517306549737414e-05,-0.00014092943003771223,-0.0018805766295262342,0.0036113509490223548,0.000736333493151569,-1.6263032587282567e-19,-0.00040635401707728863,-0.005356769864195707,0.00011980313165009402,0.0005625103593323176,-0.0043742079675208176,-0.010361802403869415,0.01386885659619142,0.009831054288626517
layer1-head7,0.00011796402636175621,-0.0009895322440870073,-0.004237257183649278,0.02906949187993154,0.00022982282564499963,0.00012237433264429011,-7.843964482802736e-05,4.343690991653682e-05,2.7288332172101715e-05,-1.0184880582259796e-05,-0.0007696693651193124,2.760934134537668e-05,6.709878493414737e-05,0.00012748438115391868,-0.000714027217211368,-0.0008563130596617491,0.00027378607340012125,0.00010696295340897384,8.673617379884035e-18,8.456776945386935e-18,0.0002641401224934158,-6.938893903907228e-18,0.003014481339535728,1.8671812450275836e-05,0.0013274915597437267,0.0002725386862552637,-0.00016988028362819877,0.001129172976453846,0.0,0.0008158549958288876,0.00011173159418188888,0.0011901661417869718,-0.0015199047344637419,-0.0004079388862054864,0.000682578084603469,0.0012223617778616361,0.000835970688001164,-2.168404344971009e-19,0.0007559299677276831,-0.0004280480384338466,0.0002961238509501842,0.0009775419398274975,-0.0003445319596125123,0.002850087319943739,0.005855014945212522,0.012349450582610166
layer1-head8,-0.0020793698408833544,-0.0011174088731244847,-0.020160994863818567,0.37138994939818537,0.0005906211747191298,0.0010600311806807684,0.00011699462322751622,0.0008809647497740804,7.210733425988581e-05,6.663839096430822e-06,0.0012834624458631571,0.0007635225471489095,-0.0002658512643197066,-0.0004917962848285588,0.0005244271293678305,0.001422574368367114,0.0032869100486915747,0.0015968856381999657,9.71445146547012e-17,1.249000902703301e-16,-0.0021433177378059874,0.0,0.007489083259540823,0.0006434882048410795,0.0005783223902770766,0.001015866134567069,0.0011501845896222977,0.0009369052089664417,1.3877787807814457e-17,-0.0025497907649526187,-0.00046731718057292616,-0.0030989953511450117,-0.006702056247430523,-0.0010991489905082018,-0.0006250401273818229,0.009775553290709343,0.003471009063537213,0.0,0.0011731177749281366,0.010214581103268151,0.0037038843716393484,0.0031388027490702945,-0.011200758366698425,-0.016816314871518717,0.04916732186683353,0.27977854066357155
