layer_head,Position,position_first_third,position_middle_third,position_last_third,ARID,ARID&Homeo domain factors,Basic helix-loop-helix factors (bHLH),Basic helix-span-helix factors (bHSH),Basic leucine zipper factors (bZIP),Basic leucine zipper factors (bZIP)&SAND domain factors,C2CH THAP-type zinc finger factors,C2H2 zinc finger factors,CRC domain,DM-type intertwined zinc finger factors,Fork head/winged helix factors,GC,GCM domain factors,Grainyhead domain factors,Heat shock factors,Heteromeric CCAAT-binding factors,High-mobility group (HMG) domain factors,Homeo domain factors,Homeo domain factors&High-mobility group (HMG) domain factors,Homeo domain factors&Paired box factors,MADS box factors,Nuclear receptors with C4 zinc fingers,Other C4 zinc finger-type factors,Other C4 zinc finger-type factors&Basic helix-loop-helix factors (bHLH),Paired box factors,Rel homology region (RHR) factors,Runt domain factors,SAND domain factors,SMAD/NF-1 DNA-binding domain factors,STAT domain factors,T-Box factors,TATA-binding proteins,TEA domain factors,TSS,Tryptophan cluster factors,p53 domain factors,phyloP,repeat_DNA,repeat_LINE,repeat_LTR,repeat_SINE,repeat_Simple_repeat
layer2-head1,3,-1,-4,5,0,0,-1,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0
layer2-head2,-3,3,1,-3,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0
layer2-head3,2,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer2-head4,-10,10,-3,-7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1
layer2-head5,-10,9,-2,-7,0,0,0,0,-1,-1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0
layer2-head6,6,1,-10,9,0,0,0,0,0,-1,0,0,0,0,0,-9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2,0,1,0
layer2-head7,10,-9,0,9,0,0,0,0,0,0,0,-1,0,0,0,-7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,-2,0,0
layer2-head8,-8,7,-2,-6,0,0,0,-1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-2,-1,0
layer2-head9,-4,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-10,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,-1,0
layer2-head10,-10,8,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,-1,1,-1
layer2-head11,0,3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
layer3-head0,7,-3,-3,6,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,2,-2,0,0,0
layer3-head1,-8,10,-9,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,1,2,0,0,-1,0
layer3-head2,-10,8,1,-9,0,-1,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,-2,0,-1
layer3-head3,-10,8,-2,-6,0,0,0,0,-1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0
layer3-head4,-2,2,-1,-2,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0
layer3-head5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-10,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,0
layer3-head6,4,-3,-3,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
